date,state,district,pincode,bio_age_5_17,bio_age_17_
03-01-2026,Andhra Pradesh,Srikakulam,532407,0,8
03-01-2026,Andhra Pradesh,Srikakulam,532432,2,1
03-01-2026,Andhra Pradesh,Srikakulam,532457,1,0
14-12-2025,Andhra Pradesh,Srikakulam,532214,0,1
28-12-2025,Andhra Pradesh,Srikakulam,532122,2,1
28-12-2025,Andhra Pradesh,Srikakulam,532195,1,3
28-12-2025,Andhra Pradesh,Srikakulam,532215,2,0
28-12-2025,Andhra Pradesh,Srikakulam,532218,2,1
28-12-2025,Andhra Pradesh,Srikakulam,532222,4,2
28-12-2025,Andhra Pradesh,Srikakulam,532322,1,1
28-12-2025,Andhra Pradesh,Srikakulam,532404,3,0
28-12-2025,Andhra Pradesh,Srikakulam,532430,1,2
28-12-2025,Andhra Pradesh,Srikakulam,532440,0,2
28-12-2025,Andhra Pradesh,Srikakulam,532445,1,1
28-12-2025,Andhra Pradesh,Srikakulam,532457,1,0
28-12-2025,Andhra Pradesh,Srikakulam,532460,0,5
28-12-2025,Andhra Pradesh,Srikakulam,535557,1,0
02-01-2026,Andhra Pradesh,Srikakulam,532001,13,14
02-01-2026,Andhra Pradesh,Srikakulam,532215,6,1
02-01-2026,Andhra Pradesh,Srikakulam,532402,3,3
02-01-2026,Andhra Pradesh,Srikakulam,532421,7,6
02-01-2026,Andhra Pradesh,Srikakulam,532432,1,2
02-01-2026,Andhra Pradesh,Srikakulam,532445,4,3
25-12-2025,Andhra Pradesh,Srikakulam,532425,6,8
25-12-2025,Andhra Pradesh,Srikakulam,532432,10,6
25-12-2025,Andhra Pradesh,Srikakulam,532458,7,5
25-12-2025,Andhra Pradesh,Srikakulam,535557,3,0
27-12-2025,Andhra Pradesh,Srikakulam,532122,6,2
27-12-2025,Andhra Pradesh,Srikakulam,532214,5,7
27-12-2025,Andhra Pradesh,Srikakulam,532219,1,2
27-12-2025,Andhra Pradesh,Srikakulam,532221,4,10
27-12-2025,Andhra Pradesh,Srikakulam,532242,3,6
27-12-2025,Andhra Pradesh,Srikakulam,532292,5,2
27-12-2025,Andhra Pradesh,Srikakulam,532401,2,7
27-12-2025,Andhra Pradesh,Srikakulam,532403,7,10
27-12-2025,Andhra Pradesh,Srikakulam,532406,1,0
27-12-2025,Andhra Pradesh,Srikakulam,532425,2,6
27-12-2025,Andhra Pradesh,Srikakulam,535125,1,2
27-12-2025,Andhra Pradesh,Srikakulam,535128,1,1
01-01-2026,Andhra Pradesh,Srikakulam,532122,7,6
01-01-2026,Andhra Pradesh,Srikakulam,532123,13,8
01-01-2026,Andhra Pradesh,Srikakulam,532216,0,4
01-01-2026,Andhra Pradesh,Srikakulam,532220,5,7
01-01-2026,Andhra Pradesh,Srikakulam,532312,22,12
01-01-2026,Andhra Pradesh,Srikakulam,532410,7,3
01-01-2026,Andhra Pradesh,Srikakulam,532445,12,3
01-01-2026,Andhra Pradesh,Srikakulam,532460,6,11
01-01-2026,Andhra Pradesh,Srikakulam,532484,4,10
01-01-2026,Andhra Pradesh,Srikakulam,535125,2,4
01-01-2026,Andhra Pradesh,Srikakulam,535128,0,2
29-12-2025,Andhra Pradesh,Srikakulam,532214,1,4
29-12-2025,Andhra Pradesh,Srikakulam,532264,3,1
29-12-2025,Andhra Pradesh,Srikakulam,532292,2,1
29-12-2025,Andhra Pradesh,Srikakulam,532409,3,5
29-12-2025,Andhra Pradesh,Srikakulam,532428,1,1
29-12-2025,Andhra Pradesh,Srikakulam,532429,1,4
29-12-2025,Andhra Pradesh,Srikakulam,532430,3,6
29-12-2025,Andhra Pradesh,Srikakulam,532440,6,8
29-12-2025,Andhra Pradesh,Srikakulam,532445,5,7
29-12-2025,Andhra Pradesh,Srikakulam,532459,4,7
25-12-2025,Andhra Pradesh,Srikakulam,532005,0,1
25-12-2025,Andhra Pradesh,Srikakulam,532123,2,2
25-12-2025,Andhra Pradesh,Srikakulam,532195,2,5
25-12-2025,Andhra Pradesh,Srikakulam,532211,0,1
25-12-2025,Andhra Pradesh,Srikakulam,532212,0,2
25-12-2025,Andhra Pradesh,Srikakulam,532216,1,3
25-12-2025,Andhra Pradesh,Srikakulam,532263,0,2
25-12-2025,Andhra Pradesh,Srikakulam,532402,1,0
25-12-2025,Andhra Pradesh,Srikakulam,532404,0,1
25-12-2025,Andhra Pradesh,Srikakulam,532405,0,2
25-12-2025,Andhra Pradesh,Srikakulam,532421,0,6
25-12-2025,Andhra Pradesh,Srikakulam,532443,0,1
25-12-2025,Andhra Pradesh,Srikakulam,532445,0,1
25-12-2025,Andhra Pradesh,Srikakulam,532462,0,1
30-11-2025,Andhra Pradesh,Srikakulam,532190,0,2
30-11-2025,Andhra Pradesh,Srikakulam,532211,1,2
30-11-2025,Andhra Pradesh,Srikakulam,532212,0,1
30-11-2025,Andhra Pradesh,Srikakulam,532214,0,2
30-11-2025,Andhra Pradesh,Srikakulam,532218,2,3
