date,state,district,pincode,bio_age_5_17,bio_age_17_
16-10-2025,Andhra Pradesh,Visakhapatnam,535250,0,1
09-11-2025,Andhra Pradesh,Visakhapatnam,531029,3,7
11-11-2025,Andhra Pradesh,Visakhapatnam,531118,0,1
16-11-2025,Andhra Pradesh,Visakhapatnam,531117,1,0
16-11-2025,Andhra Pradesh,Visakhapatnam,535005,1,0
25-11-2025,Andhra Pradesh,Visakhapatnam,533483,0,1
02-12-2025,Andhra Pradesh,Visakhapatnam,530014,1,0
04-12-2025,Andhra Pradesh,Visakhapatnam,535273,0,1
07-12-2025,Andhra Pradesh,Visakhapatnam,530029,0,1
07-12-2025,Andhra Pradesh,Visakhapatnam,531026,2,1
25-12-2025,Andhra Pradesh,Visakhapatnam,530002,7,13
25-12-2025,Andhra Pradesh,Visakhapatnam,530003,1,4
25-12-2025,Andhra Pradesh,Visakhapatnam,530005,14,2
25-12-2025,Andhra Pradesh,Visakhapatnam,530020,2,1
25-12-2025,Andhra Pradesh,Visakhapatnam,531084,8,12
25-12-2025,Andhra Pradesh,Visakhapatnam,531117,16,5
27-12-2025,Andhra Pradesh,Visakhapatnam,530001,8,6
27-12-2025,Andhra Pradesh,Visakhapatnam,530005,3,1
27-12-2025,Andhra Pradesh,Visakhapatnam,530029,5,5
27-12-2025,Andhra Pradesh,Visakhapatnam,530032,4,0
27-12-2025,Andhra Pradesh,Visakhapatnam,530043,0,3
27-12-2025,Andhra Pradesh,Visakhapatnam,530052,4,5
27-12-2025,Andhra Pradesh,Visakhapatnam,531002,0,3
27-12-2025,Andhra Pradesh,Visakhapatnam,531027,4,6
27-12-2025,Andhra Pradesh,Visakhapatnam,531061,5,12
27-12-2025,Andhra Pradesh,Visakhapatnam,531084,3,7
27-12-2025,Andhra Pradesh,Visakhapatnam,531111,5,11
27-12-2025,Andhra Pradesh,Visakhapatnam,531162,19,21
27-12-2025,Andhra Pradesh,Visakhapatnam,535183,1,0
29-12-2025,Andhra Pradesh,Visakhapatnam,530005,1,2
29-12-2025,Andhra Pradesh,Visakhapatnam,530009,2,1
29-12-2025,Andhra Pradesh,Visakhapatnam,530013,4,1
29-12-2025,Andhra Pradesh,Visakhapatnam,530016,13,10
29-12-2025,Andhra Pradesh,Visakhapatnam,530044,6,4
29-12-2025,Andhra Pradesh,Visakhapatnam,530045,3,3
29-12-2025,Andhra Pradesh,Visakhapatnam,530053,3,1
29-12-2025,Andhra Pradesh,Visakhapatnam,531001,9,6
29-12-2025,Andhra Pradesh,Visakhapatnam,531019,2,3
29-12-2025,Andhra Pradesh,Visakhapatnam,531022,3,1
29-12-2025,Andhra Pradesh,Visakhapatnam,531023,3,1
29-12-2025,Andhra Pradesh,Visakhapatnam,531040,18,18
29-12-2025,Andhra Pradesh,Visakhapatnam,531105,0,2
29-12-2025,Andhra Pradesh,Visakhapatnam,531111,11,9
29-12-2025,Andhra Pradesh,Visakhapatnam,531151,10,12
28-12-2025,Andhra Pradesh,Visakhapatnam,530007,2,2
28-12-2025,Andhra Pradesh,Visakhapatnam,530026,8,11
28-12-2025,Andhra Pradesh,Visakhapatnam,530027,3,2
28-12-2025,Andhra Pradesh,Visakhapatnam,530028,3,1
28-12-2025,Andhra Pradesh,Visakhapatnam,530051,1,3
28-12-2025,Andhra Pradesh,Visakhapatnam,531002,0,1
28-12-2025,Andhra Pradesh,Visakhapatnam,531019,1,0
28-12-2025,Andhra Pradesh,Visakhapatnam,531020,2,0
28-12-2025,Andhra Pradesh,Visakhapatnam,531022,4,1
28-12-2025,Andhra Pradesh,Visakhapatnam,531023,0,1
28-12-2025,Andhra Pradesh,Visakhapatnam,531030,1,3
28-12-2025,Andhra Pradesh,Visakhapatnam,531033,1,1
28-12-2025,Andhra Pradesh,Visakhapatnam,531035,4,1
28-12-2025,Andhra Pradesh,Visakhapatnam,531040,3,1
28-12-2025,Andhra Pradesh,Visakhapatnam,531105,0,1
28-12-2025,Andhra Pradesh,Visakhapatnam,531117,0,1
28-12-2025,Andhra Pradesh,Visakhapatnam,531133,1,1
28-12-2025,Andhra Pradesh,Visakhapatnam,531151,1,3
28-12-2025,Andhra Pradesh,Visakhapatnam,531162,5,2
01-01-2026,Andhra Pradesh,Visakhapatnam,530004,10,6
01-01-2026,Andhra Pradesh,Visakhapatnam,530007,13,10
01-01-2026,Andhra Pradesh,Visakhapatnam,530008,19,22
01-01-2026,Andhra Pradesh,Visakhapatnam,530048,17,8
01-01-2026,Andhra Pradesh,Visakhapatnam,530051,10,8
01-01-2026,Andhra Pradesh,Visakhapatnam,530052,3,7
01-01-2026,Andhra Pradesh,Visakhapatnam,530053,1,0
01-01-2026,Andhra Pradesh,Visakhapatnam,531001,18,10
01-01-2026,Andhra Pradesh,Visakhapatnam,531002,3,6
01-01-2026,Andhra Pradesh,Visakhapatnam,531019,4,3
01-01-2026,Andhra Pradesh,Visakhapatnam,531022,1,1
01-01-2026,Andhra Pradesh,Visakhapatnam,531024,4,9
01-01-2026,Andhra Pradesh,Visakhapatnam,531026,5,6
01-01-2026,Andhra Pradesh,Visakhapatnam,531028,6,12
01-01-2026,Andhra Pradesh,Visakhapatnam,531040,14,27
01-01-2026,Andhra Pradesh,Visakhapatnam,531060,5,4
01-01-2026,Andhra Pradesh,Visakhapatnam,531081,10,5
01-01-2026,Andhra Pradesh,Visakhapatnam,531082,1,4
01-01-2026,Andhra Pradesh,Visakhapatnam,531127,4,2
01-01-2026,Andhra Pradesh,Visakhapatnam,535145,8,9
01-01-2026,Andhra Pradesh,Visakhapatnam,535183,3,2
21-12-2025,Andhra Pradesh,Visakhapatnam,530043,0,2
21-12-2025,Andhra Pradesh,Visakhapatnam,530049,0,1
21-12-2025,Andhra Pradesh,Visakhapatnam,531024,0,1
21-12-2025,Andhra Pradesh,Visakhapatnam,531082,0,2
21-12-2025,Andhra Pradesh,Visakhapatnam,531105,0,1
14-12-2025,Andhra Pradesh,Visakhapatnam,530029,1,0
14-12-2025,Andhra Pradesh,Visakhapatnam,530044,0,11
14-12-2025,Andhra Pradesh,Visakhapatnam,530052,0,1
14-12-2025,Andhra Pradesh,Visakhapatnam,531020,0,1
14-12-2025,Andhra Pradesh,Visakhapatnam,531034,0,1
14-12-2025,Andhra Pradesh,Visakhapatnam,531105,0,1
14-12-2025,Andhra Pradesh,Visakhapatnam,531117,0,1
14-12-2025,Andhra Pradesh,Visakhapatnam,531162,0,4
14-12-2025,Andhra Pradesh,Visakhapatnam,531163,0,2
13-12-2025,Andhra Pradesh,Visakhapatnam,530031,0,1
02-01-2026,Andhra Pradesh,Visakhapatnam,530002,4,4
